IBER,NIBER,PSNR,SSIM
0.0032,0.0104,23.771193,0.875715
0.0032,0.0103,23.533756,0.879387
0.0,0.0082,25.584913,0.893009
0.0159,0.0097,24.124285,0.880009
0.0063,0.0101,24.51092,0.889304
0.0159,0.0095,23.433998,0.866136
0.0032,0.0091,24.696909,0.88149
0.0127,0.0088,23.176389,0.864833
0.0095,0.0103,23.152966,0.868496
0.0127,0.0102,22.449038,0.870388
0.0063,0.0032,27.337559,0.927941
0.0032,0.0032,28.597475,0.929191
0.0,0.0034,26.660468,0.927261
0.0095,0.004,24.556578,0.895133
0.0032,0.0031,26.829156,0.920253
0.0032,0.004,29.008558,0.93031
0.0,0.0025,30.065502,0.937827
0.0063,0.0038,26.605357,0.921822
0.0127,0.0031,23.222003,0.88338
0.0032,0.0051,27.383629,0.915045
0.0032,0.0039,28.566707,0.936791
0.0,0.0031,30.88246,0.951131
0.0095,0.0032,25.689056,0.911778
0.0063,0.0027,26.353466,0.930035
0.0,0.0023,34.340655,0.962304
0.0063,0.0035,26.206248,0.918176
0.0063,0.0031,26.907746,0.932654
0.0095,0.0036,26.124142,0.919833
0.0159,0.0031,23.775686,0.894756
0.0032,0.0037,27.543068,0.931969
0.0032,0.0041,25.047512,0.917026
0.0032,0.0044,27.996777,0.932428
0.0,0.0042,29.1801,0.937706
0.0032,0.0034,30.068262,0.948763
0.0032,0.0048,26.592769,0.922194
0.0032,0.0038,29.11407,0.930522
0.0063,0.0046,25.88975,0.921639
0.0063,0.0034,28.094957,0.924074
0.0063,0.005,22.72599,0.879102
0.0063,0.0045,24.560917,0.892594
0.0032,0.0041,28.843614,0.925899
0.0032,0.0031,27.475124,0.935968
0.0032,0.0035,27.962725,0.92881
0.0,0.0037,31.418558,0.942709
0.0063,0.0041,24.426045,0.911658
0.0032,0.005,24.988262,0.900242
0.0032,0.0046,26.395249,0.917849
0.0032,0.0048,26.043467,0.908627
0.0032,0.0051,25.969992,0.905068
0.0032,0.004,25.404418,0.906957
0.0032,0.0033,25.026913,0.907965
0.0,0.0044,29.072488,0.933466
0.0032,0.0049,25.153985,0.901662
0.0063,0.0049,25.085539,0.901091
0.0,0.0045,25.882364,0.913917
0.0032,0.0044,24.664722,0.906545
0.0095,0.005,23.656878,0.892064
0.0032,0.0057,24.59516,0.900531
0.0063,0.0044,26.702322,0.918607
0.0063,0.0051,23.440886,0.887198
0.0127,0.0039,25.006126,0.905161
0.0063,0.0037,24.932387,0.914619
0.0,0.0046,25.629884,0.906164
0.0032,0.0043,27.007319,0.918383
0.0127,0.0048,23.922728,0.885639
0.0063,0.004,25.144496,0.912383
0.0,0.0048,28.576133,0.925955
0.0063,0.0048,26.316211,0.918809
0.0063,0.0035,28.392896,0.937073
0.0032,0.0042,27.689073,0.92766
0.0,0.0058,27.765593,0.92621
0.0063,0.0043,25.479938,0.913334
0.0032,0.0059,26.351286,0.906616
0.0,0.006,25.871588,0.915116
0.0095,0.0043,22.088356,0.87478
0.0063,0.0047,25.35152,0.902655
0.0063,0.0054,24.864687,0.903927
0.0127,0.0041,26.156093,0.916545
0.0127,0.0065,22.132628,0.865618
0.0032,0.0065,24.529585,0.897975
